correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_train_neat_ncl,average_loss_test_neat_ncl,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_neat_ncl,diversity_coefficient_test_neat_ncl,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.5,4,100,0.001,170,10.0,308.46775817871094,290.1009979248047,8.55932100613912,9.4449143409729,7.373033205668132,11.035441160202026,11.304477532704672,10.199617862701416,41.96703338623047,41.96703338623047,0.5469506978988647,0.49273884296417236,0.6107594966888428,0.6541927456855774
0.5,4,100,0.001,170,30.0,331.8223470052083,308.58570861816406,9.930492401123047,11.49511432647705,8.308775703112284,8.214753866195679,8.00046157836914,7.909140110015869,71.03295135498047,71.03294372558594,0.9867687821388245,0.9472153186798096,0.8303897380828857,0.8063445687294006
0.5,4,100,0.001,170,50.0,235.8738759358724,216.7915496826172,7.971296469370524,9.946430683135986,8.439953486124674,7.439319849014282,9.7914400100708,11.738908290863037,99.12914276123047,99.12915802001953,0.8629017472267151,0.6878387331962585,0.6794350147247314,0.6945315599441528
0.75,2,100,0.001,110,10.0,74.95454025268555,69.86574935913086,8.892650842666626,10.945993423461914,8.927966753641764,9.918692111968994,7.815473159154256,9.553233623504639,366.04278564453125,366.04278564453125,2.4339005947113037,2.0467052459716797,1.0907418727874756,0.8778557181358337
0.75,2,100,0.001,110,30.0,266.1814702351888,227.84213256835938,10.12872568766276,13.999615669250488,7.716342528661092,6.86667788028717,9.222942272822062,10.03704023361206,6.684894561767578,6.685049533843994,0.7046310901641846,0.7820643782615662,1.1490941047668457,1.0091960430145264
0.75,2,100,0.001,110,50.0,500.87847900390625,460.1947021484375,10.275299787521362,13.328548431396484,8.097470045089722,10.184443950653076,6.843530098597209,9.200911521911621,0.42070984840393066,0.4207098186016083,3.6165428161621094,3.6870384216308594,0.7831403017044067,0.6039112210273743
0.75,2,100,0.001,140,10.0,135.25296529134116,121.51121139526367,10.384244203567505,11.028367519378662,8.86387586593628,7.224082112312317,8.963422159353891,11.913357257843018,365.9518127441406,365.9517822265625,1.0064818859100342,0.7189558148384094,0.4884388744831085,0.4957677125930786
0.75,2,100,0.001,140,30.0,29.06394386291504,24.33558940887451,10.288208961486816,10.167722702026367,8.060393651326498,9.424761772155762,8.425590912501017,8.636357307434082,352.288330078125,352.2882995605469,1.5686558485031128,1.453790307044983,0.3009888827800751,0.30453765392303467
0.75,2,100,0.001,140,50.0,111.93112691243489,117.9118766784668,9.893722534179688,11.270711183547974,8.145033995310465,8.126559495925903,9.478073914845785,8.314268350601196,211.98158264160156,211.98159790039062,2.205188512802124,2.1380014419555664,0.7395612001419067,0.6852448582649231
0.75,2,100,0.001,170,10.0,518.0343780517578,506.9343566894531,10.181895971298218,13.065011978149414,8.438473304112753,8.434096813201904,6.946324865023295,7.10644805431366,0.0,0.0,0.6223884224891663,0.5543007254600525,0.8477802872657776,0.9281336069107056
